user,condition,task,time,event,note
6,X,1,92.4,drag,
6,X,1,110.6,drag,repeat
6,X,2,131.2,drag,
6,X,2,136.2,tap;tap;tap,alt waypoints
6,X,2,146,tap (robots),tap(A);
6,X,3,159.5,tap (robots),
6,X,3,164.3,drag, pull in opposite of supposed travel dir
6,X,3,167.23,drag, pull in opposite of supposed travel dir
6,X,4,183.79, 2f 2h drag,
6,X,5,202.44,drag;drag,
6,X,5,204.94,tap (orange);tap(B),
6,X,5,205.56,tap (red);tap (A),
6,X,6,223.78,drag(orange -> A);drag (red->B),
6,X,6,226.85,tap (orange);tap (A);tap (red);tap (B),
6,X,7,239.63,drag,
6,X,7,244.16,drag,
6,X,7,243.49,tap (orange);tap (B);tap (red);tap (A),
6,X,8,263.79,2f 2h rev pinch,
6,X,8,267.56,drag,cut alt
6,X,8,273.19,2f 2h rev pinch, repeat
6,X,8,273.83,drag,cut alt repeat
6,X,8,285.6,2f 2h rev pinch,
6,X,8,291.72,drag;drag;drag, multiple cut
6,X,9,303.54,2f 2h pinch,
6,X,9,306.62,drag,alt
6,X,9,309.27,drag,alt
6,X,10,331.91,drag,
6,X,10,336.42,tap (robots),
6,X,10,336.91,drag (draw line),
6,X,10,345.01,tap;drag,repeat
6,X,11,370.31,tap,
6,X,11,371.71,drag (draw square),
6,X,11,379.91,drag (draw square),alt;2 times around square
6,X,12,402.98,drag (robots->crate->A), as one move
6,X,12,408.16,tap&hold (A),
6,X,12,410.38,tap (crate), tap (A),
6,X,12,415.73,tap (crate), tap (A),
6,X,12,418.78,drag (crate -> A),
6,X,13,437,tap(crate);tap (a),
6,X,13,439.23,drag,alt
6,X,14,475.31,mentions gestures for a commands;tap,demo todo check this
6,X,14,476.48,drag (circle on robots),
6,X,14,481.96,drag (3x around border),
6,X,14,486.0,drag (circle on robot);drag(border),
6,X,15,500.65,drag (circle on robots);drag (area A edge),
6,X,15,523.92,drag (circle on robots);tap (A),
6,X,15,548.877,drag (circle on robots);drag (area A edge),
6,X,16,567.57,5f scatter, 2 times
